_id,Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
1,2012Q1,S08000015,S08000015,"",All Cancer Types,d,335,"",333,""
2,2012Q1,S08000015,S08000017,"",All Cancer Types,d,2,"",2,""
3,2012Q1,S08000015,S08000020,"",All Cancer Types,d,1,"",1,""
4,2012Q1,S08000015,S08000031,"",All Cancer Types,d,58,"",56,""
5,2012Q1,S08000015,S92000003,d,All Cancer Types,d,402,"",398,""
6,2012Q1,S08000015,SB0801,"",All Cancer Types,d,6,"",6,""
7,2012Q1,S08000016,S08000016,"",All Cancer Types,d,100,"",100,""
8,2012Q1,S08000016,S08000024,"",All Cancer Types,d,18,"",18,""
9,2012Q1,S08000016,S92000003,d,All Cancer Types,d,118,"",118,""
10,2012Q1,S08000017,S08000017,"",All Cancer Types,d,138,"",136,""
11,2012Q1,S08000017,S08000024,"",All Cancer Types,d,31,"",30,""
12,2012Q1,S08000017,S08000031,"",All Cancer Types,d,3,"",3,""
13,2012Q1,S08000017,S92000003,d,All Cancer Types,d,174,"",171,""
14,2012Q1,S08000017,SB0801,"",All Cancer Types,d,2,"",2,""
15,2012Q1,S08000019,S08000019,"",All Cancer Types,d,226,"",216,""
16,2012Q1,S08000019,S08000024,"",All Cancer Types,d,1,"",1,""
17,2012Q1,S08000019,S08000031,"",All Cancer Types,d,47,"",44,""
18,2012Q1,S08000019,S92000003,d,All Cancer Types,d,280,"",267,""
19,2012Q1,S08000019,SB0801,"",All Cancer Types,d,6,"",6,""
20,2012Q1,S08000020,S08000020,"",All Cancer Types,d,502,"",486,""
21,2012Q1,S08000020,S08000024,"",All Cancer Types,d,2,"",2,""
22,2012Q1,S08000020,S92000003,d,All Cancer Types,d,504,"",488,""
23,2012Q1,S08000022,S08000020,"",All Cancer Types,d,2,"",2,""
24,2012Q1,S08000022,S08000022,"",All Cancer Types,d,268,"",262,""
25,2012Q1,S08000022,S08000024,"",All Cancer Types,d,3,"",3,""
26,2012Q1,S08000022,S08000031,"",All Cancer Types,d,15,"",15,""
27,2012Q1,S08000022,S92000003,d,All Cancer Types,d,289,"",283,""
