MonthOfDelay,CA,CAQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
201607,S12000005,,18plus,d,All Delay Reasons,d,236,8
201607,S12000005,,18plus,d,Health and Social Care Reasons,,74,2
201607,S12000005,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000005,,18plus,d,Code 9 AWI,,75,2
201607,S12000005,,18plus,d,Code 9 Non-AWI,,87,3
201607,S12000005,,18-74,,All Delay Reasons,d,118,4
201607,S12000005,,18-74,,Health and Social Care Reasons,,0,0
201607,S12000005,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000005,,18-74,,Code 9 AWI,,31,1
201607,S12000005,,18-74,,Code 9 Non-AWI,,87,3
201607,S12000005,,75plus,,All Delay Reasons,d,118,4
201607,S12000005,,75plus,,Health and Social Care Reasons,,74,2
201607,S12000005,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000005,,75plus,,Code 9 AWI,,44,1
201607,S12000005,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000006,,18plus,d,All Delay Reasons,d,1072,35
201607,S12000006,,18plus,d,Health and Social Care Reasons,,801,26
201607,S12000006,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000006,,18plus,d,Code 9 AWI,,271,9
201607,S12000006,,18plus,d,Code 9 Non-AWI,,0,0
201607,S12000006,,18-74,,All Delay Reasons,d,280,9
201607,S12000006,,18-74,,Health and Social Care Reasons,,223,7
201607,S12000006,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000006,,18-74,,Code 9 AWI,,57,2
201607,S12000006,,18-74,,Code 9 Non-AWI,,0,0
201607,S12000006,,75plus,,All Delay Reasons,d,792,26
201607,S12000006,,75plus,,Health and Social Care Reasons,,578,19
201607,S12000006,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000006,,75plus,,Code 9 AWI,,214,7
201607,S12000006,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000008,,18plus,d,All Delay Reasons,d,501,16
201607,S12000008,,18plus,d,Health and Social Care Reasons,,147,5
201607,S12000008,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000008,,18plus,d,Code 9 AWI,,228,7
201607,S12000008,,18plus,d,Code 9 Non-AWI,,126,4
201607,S12000008,,18-74,,All Delay Reasons,d,90,3
201607,S12000008,,18-74,,Health and Social Care Reasons,,19,1
201607,S12000008,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000008,,18-74,,Code 9 AWI,,62,2
201607,S12000008,,18-74,,Code 9 Non-AWI,,9,0
201607,S12000008,,75plus,,All Delay Reasons,d,411,13
201607,S12000008,,75plus,,Health and Social Care Reasons,,128,4
201607,S12000008,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000008,,75plus,,Code 9 AWI,,166,5
201607,S12000008,,75plus,,Code 9 Non-AWI,,117,4
201607,S12000010,,18plus,d,All Delay Reasons,d,1358,44
201607,S12000010,,18plus,d,Health and Social Care Reasons,,1284,41
201607,S12000010,,18plus,d,Patient and Family Related Reasons,,0,0
201607,S12000010,,18plus,d,Code 9 AWI,,43,1
201607,S12000010,,18plus,d,Code 9 Non-AWI,,31,1
201607,S12000010,,18-74,,All Delay Reasons,d,369,12
201607,S12000010,,18-74,,Health and Social Care Reasons,,301,10
201607,S12000010,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000010,,18-74,,Code 9 AWI,,37,1
201607,S12000010,,18-74,,Code 9 Non-AWI,,31,1
201607,S12000010,,75plus,,All Delay Reasons,d,989,32
201607,S12000010,,75plus,,Health and Social Care Reasons,,983,32
201607,S12000010,,75plus,,Patient and Family Related Reasons,,0,0
201607,S12000010,,75plus,,Code 9 AWI,,6,0
201607,S12000010,,75plus,,Code 9 Non-AWI,,0,0
201607,S12000011,,18plus,d,All Delay Reasons,d,105,3
201607,S12000011,,18plus,d,Health and Social Care Reasons,,73,2
201607,S12000011,,18plus,d,Patient and Family Related Reasons,,1,0
201607,S12000011,,18plus,d,Code 9 AWI,,31,1
